AreaHaSIG,lat,lon,cluster,year,is_noise
0.22032336,41.69026729897077,-8.752716975858796,12,2020,False
0.20147918,41.78812104443835,-8.729710698976998,-1,2020,True
0.01503482,41.870380307956495,-8.523743691976485,-1,2020,True
6.34118608,38.88744065629709,-9.283243058794335,1,2020,False
1.6963761,37.29244757131051,-7.615394717280722,-1,2020,True
29.29902813,37.13509167742701,-8.891883956919134,-1,2020,True
2.78330228,37.314424201439365,-8.150152242476501,-1,2020,True
1.16829981,37.37435489848853,-7.482418375693404,-1,2020,True
9.53621469,37.03175343277525,-7.9084784636730605,-1,2020,True
2236.41903428,37.130139093720025,-8.831183991252583,-1,2020,True
2.44153317,37.321295594653876,-7.81902156174605,-1,2020,True
535.63297121,37.366083503253634,-8.335573994587525,-1,2020,True
5.47219224,37.401647302796945,-7.461595251474305,-1,2020,True
5.9366646,37.178081100946386,-7.632082385944214,-1,2020,True
7.95972748,37.126741602416324,-8.785181738030037,-1,2020,True
1.4348407,37.15802404575022,-8.671362034820683,-1,2020,True
0.15955503,38.69003005691016,-7.441823872122967,0,2020,False
0.00012712,38.69841541333349,-7.402295673332654,0,2020,False
14.77968892,38.547973806382366,-8.420371115221643,-1,2020,True
0.12667741,38.59406601784835,-7.898932535475372,0,2020,False
0.65798928,38.82984420062213,-7.407739132248912,0,2020,False
1.88285864,38.50669501814235,-7.58668132750222,0,2020,False
0.89000124,38.828722694020435,-7.409505435612892,0,2020,False
3.39754747,38.85054417716922,-7.581134195664486,0,2020,False
0.44506052,38.52813103369232,-7.865985768315051,0,2020,False
29.67049609,38.3502190601935,-7.49312451971161,0,2020,False
3.99346622,38.38873243526543,-7.515129340044714,0,2020,False
0.17573548,38.84289331788405,-7.862721623523358,-1,2020,True
0.86949652,38.580439173958425,-7.766631043054051,0,2020,False
1.67398781,38.529576547935605,-8.006590727703376,0,2020,False
0.06181232,38.717540156523086,-7.561726961737079,0,2020,False
2.31240849,38.8698805859618,-8.185498434128569,-1,2020,True
14.98895675,38.54411462186895,-7.392300020097115,0,2020,False
0.62134818,38.82951788405407,-7.408984438353269,0,2020,False
0.12991484,38.31472518519565,-7.584309787574093,0,2020,False
0.73888021,38.68972587031137,-7.473950376761698,0,2020,False
1.2449304,38.79632534844094,-7.216846540635189,0,2020,False
0.91966384,38.827923585369014,-7.410930713072439,0,2020,False
0.72910009,38.475219204639856,-7.57419645404785,0,2020,False
1.34144146,38.87685123330438,-7.8430226953141995,-1,2020,True
9.10982553,38.29102413608436,-7.258731161971447,-1,2020,True
0.46450419,38.96306827402257,-7.519525402308448,0,2020,False
5.12758957,38.763276251077265,-8.356622239874202,-1,2020,True
0.00709363,38.82788738757301,-7.410350951124577,0,2020,False
20.24002623,38.92140218706197,-7.979732406450125,-1,2020,True
0.02263238,38.322847368436854,-7.949959453770762,0,2020,False
0.58581794,38.418368900593755,-7.545214089862873,0,2020,False
0.35452441,38.5097236808086,-7.59528302085871,0,2020,False
0.04074603,38.69594850554836,-7.561869078209897,0,2020,False
4.0426157,38.92933519503693,-7.594558787125883,0,2020,False
0.01033888,38.59888425565116,-7.889469992526391,0,2020,False
0.04661255,38.829184707703675,-7.410016356667527,0,2020,False
0.13495244,38.41706580000382,-7.546030848147989,0,2020,False
10.77401838,38.59901887766612,-7.467568371747633,0,2020,False
0.17606763,38.50821622451597,-7.602416971875319,0,2020,False
0.33340718,38.382210434309506,-8.147696740830735,-1,2020,True
21.47573095,38.73254924513943,-7.259655382865469,0,2020,False
0.05689878,38.73155010321366,-7.464567832347343,0,2020,False
0.66229631,38.79028477608157,-7.900462806503882,-1,2020,True
0.08494654,38.32667013418257,-7.873442426958186,0,2020,False
0.00030456,38.705668216670865,-7.405016800014976,0,2020,False
0.01678722,38.72004327147155,-7.563910021254293,0,2020,False
0.05628038,38.50374520253996,-7.591679240270468,0,2020,False
1.73995191,38.809542333579444,-7.53153449394974,0,2020,False
0.51927495,38.64734387557407,-7.962249897330833,0,2020,False
0.13771073,38.63455068586892,-8.520307515366428,-1,2020,True
25.18642571,38.53023894682632,-7.935638610814724,0,2020,False
0.04014223,38.565921198543116,-7.677811320769912,0,2020,False
0.0375659,38.35805793523145,-7.916816404098002,0,2020,False
0.8640017,38.70609046303966,-8.1691079559159,-1,2020,True
0.00299497,38.726306418620794,-7.46102676559172,0,2020,False
1.29175181,38.68243385051009,-7.9507496754333555,0,2020,False
0.6281182,38.8349335448868,-7.534218603449164,0,2020,False
1.36567962,38.44518975649558,-7.773002639630928,0,2020,False
1.42730202,38.280435324048874,-7.464700596165374,-1,2020,True
1.44100536,38.76806636235356,-8.381151006041733,-1,2020,True
2.10069809,38.34477722872023,-7.5291621592972975,0,2020,False
0.01869129,38.722501052244674,-7.6836793459722985,0,2020,False
0.7544303,38.70803625987561,-7.668075242441731,0,2020,False
1.6376778,38.76985094801337,-7.595970824630571,0,2020,False
0.02517042,38.718582002697254,-7.566081673548123,0,2020,False
21.85483694,38.80878362151455,-7.643199809178645,0,2020,False
0.12652863,38.310531782660334,-7.470994174641305,0,2020,False
2.60546401,38.26606377499656,-7.608314078819764,0,2020,False
0.69971528,38.6911203291982,-7.5325115765236035,0,2020,False
0.49871506,38.34465067099098,-7.509959737995878,0,2020,False
0.46607,38.337625150379694,-7.997459032997661,0,2020,False
0.02023649,38.74575082535362,-8.201853991668967,-1,2020,True
0.43777069,38.52770364646106,-8.133697320838435,0,2020,False
5.85551146,38.71193053351087,-8.306830571095313,-1,2020,True
1.06230245,38.70417427986726,-8.231831911111916,-1,2020,True
0.49130297,38.55350123697226,-8.194629774970547,-1,2020,True
2.72877916,38.53164276249446,-7.852937458966747,0,2020,False
2.53588783,38.427558061895645,-7.726683920843492,0,2020,False
12.88736165,38.37374474530892,-8.284107704609529,-1,2020,True
1.23618422,38.916455029345954,-8.218496966475726,-1,2020,True
10.03455146,39.29717746504375,-7.800109868287475,-1,2020,True
4.14248613,39.42552069023302,-7.642031163797273,-1,2020,True
1.45521526,38.88528923972929,-7.224658453632695,0,2020,False
2.05205331,39.06566269736027,-7.917858580107049,-1,2020,True
3.9273947,38.93470386973879,-7.023182181265339,-1,2020,True
0.04170797,39.35152006278038,-7.646966810984261,-1,2020,True
82.49604908,38.85860534437634,-7.389756736005363,0,2020,False
32.59839586,38.973248911509245,-7.315861503225182,0,2020,False
1.6297012,39.17628282657308,-7.8671996086800275,-1,2020,True
703.59200417,39.118963745447445,-8.004741974736877,-1,2020,True
1.91511265,39.41489058758325,-7.6785876313327,-1,2020,True
2.70381935,39.29654565755942,-7.97750446242875,2,2020,False
25.36787024,39.29431866709458,-7.845381684198602,-1,2020,True
5.64222096,39.279390566961105,-7.726469169709263,-1,2020,True
492.67002773,39.42255230591853,-7.322061295745054,-1,2020,True
3.53200296,38.962218196930316,-7.2887585555471945,0,2020,False
36.28192098,38.923806815263525,-7.711757611218673,0,2020,False
2.83880626,39.45093789538567,-7.383194403580695,-1,2020,True
6.06217441,39.25507619164093,-7.997182145192577,2,2020,False
10.18758452,39.099403768644805,-7.075232577870268,-1,2020,True
1.59601125,39.604301067704746,-7.667492560519666,-1,2020,True
1.66843153,38.89439921273149,-7.224478132969508,0,2020,False
0.03928286,39.28616378482581,-8.090977466709145,2,2020,False
5.34646701,39.271107385824955,-7.68657750640265,-1,2020,True
3.33104087,38.813839996642955,-7.189229863689432,0,2020,False
5.40919065,38.81849875975991,-7.185171501744218,0,2020,False
9.02009695,38.77375514326441,-7.2087038191167485,0,2020,False
27.80587477,39.0212775053936,-7.707944378996199,-1,2020,True
1.97448706,39.34485744204843,-7.7039139196967374,-1,2020,True
1.7708476,39.1051563393336,-7.034029657908651,-1,2020,True
5.87514068,38.29757353051155,-7.954815124690028,-1,2020,True
3.92226581,37.65245666348969,-8.7708394861737,-1,2020,True
1.86175631,37.74562375248194,-8.769678168978379,-1,2020,True
79.2535976,37.75474018888601,-8.531477410668197,-1,2020,True
4.84715028,38.02237982784647,-7.8154987096014255,0,2020,False
1.10941561,37.83357571594096,-7.815868463786587,-1,2020,True
4.04161118,38.03865146479231,-7.739297688552762,0,2020,False
3.72270603,37.63994403835285,-7.554395404343219,-1,2020,True
19.2463686,38.03995909913784,-7.7359138820112525,0,2020,False
6.52794429,37.93680498713474,-7.781712712949903,0,2020,False
1.95840982,37.56370714211079,-8.031110390652527,-1,2020,True
2.30364882,37.53744282522369,-7.960768571967771,-1,2020,True
3.95496269,38.184002711453154,-7.929605123369425,0,2020,False
117.63154722,37.89994722912158,-8.217151846978723,-1,2020,True
1.86212304,38.23635484316816,-8.036231631062932,-1,2020,True
1.40719268,37.643938614343384,-7.5569464883015565,-1,2020,True
4.43497347,37.75124131997473,-8.220313989383047,-1,2020,True
