geometry,name,id,latitude,longitude,category,vi
POINT (-3.6890396 40.3510801),"Centro Privado de Educación Infantil, Primaria y Secundaria San Pedro",school_46,40.3510801,-3.6890396,school,0.0
POINT (-3.7253361 40.38513),Colegio Cervantes,school_47,40.38513,-3.7253361,school,0.0
POINT (-3.6921875 40.3727453),Centro Privado de Educación Infantil y Primaria San Fermín,school_48,40.3727453,-3.6921875,school,0.0
POINT (-3.694003 40.3570121),Centro Privado de Educación Infantil y Primaria Sagrados Corazones,school_49,40.3570121,-3.694003,school,0.0
POINT (-3.7236947 40.4024192),"Centro Privado de Educación Infantil, Primaria y Secundaria San Alberto Magno",school_50,40.4024192,-3.7236947,school,0.0
POINT (-3.6645157 40.3953054),"Centro Privado de Educación Infantil, Primaria y Secundaria Centro Cultural Salmantino",school_51,40.3953054,-3.6645157,school,0.0
POINT (-3.6621031 40.4240493),Antiguo Colegio Viancor,school_52,40.4240493,-3.6621031,school,0.0
POINT (-3.685059 40.4457699),Colegio británico Maxwell School,school_53,40.4457699,-3.685059,school,0.0
POINT (-3.6824442 40.4497314),Centro Privado de Educación Especial Los Álamos,school_54,40.4497314,-3.6824442,school,0.0
POINT (-3.6809785 40.4458753),Centro Docente Extranjero en España Union-Chrétienne de Saint Chaumond,school_55,40.4458753,-3.6809785,school,0.0
POINT (-3.664748 40.4265814),Colegio Virgen de La Luz,school_56,40.4265814,-3.664748,school,0.0
POINT (-3.6489097 40.4340867),"Centro Privado de Educación Infantil, Primaria y Secundaria Centro Cultural Elfo",school_57,40.4340867,-3.6489097,school,0.0
POINT (-3.6644886 40.4218935),Colegio Stoa Liceo,school_58,40.4218935,-3.6644886,school,0.0
POINT (-3.7102697 40.394305),"Centro Privado de Educación Infantil, Primaria y Secundaria Liceo Ibérico",school_59,40.394305,-3.7102697,school,0.0
POINT (-3.7789832 40.3837547),Colegio de Educación Infantil y Primaria Ciudad de Badajoz,school_60,40.3837547,-3.7789832,school,0.0
POINT (-3.7098461 40.4224323),Centro Privado de Educación Secundaria Darío Estudio,school_61,40.4224323,-3.7098461,school,0.0
POINT (-3.6891964 40.4943477),"Centro Privado de Educación Infantil, Primaria y Secundaria Sagrado Corazón",school_62,40.4943477,-3.6891964,school,0.0
POINT (-3.6252824 40.429072),Instituto de Educación Secundaria Barrio Simancas,school_63,40.429072,-3.6252824,school,0.0
POINT (-3.7462856 40.4038146),"Centro Privado de Educación Infantil, Primaria y Secundaria San José-lucero",school_64,40.4038146,-3.7462856,school,0.0
POINT (-3.7069054 40.4298609),Centro Privado de Formación Profesional Específica Escuela Profesional Javeriana,school_65,40.4298609,-3.7069054,school,0.0
POINT (-3.7165381 40.4410303),"Centro Privado de Educación Infantil, Primaria y Secundaria Santa María del Yermo",school_66,40.4410303,-3.7165381,school,0.0
POINT (-3.7762829 40.3804575),Colegio de Educación Infantil y Primaria Alcalde de Móstoles,school_67,40.3804575,-3.7762829,school,0.0
POINT (-3.7525477 40.3689252),Instituto de Educación Secundaria Instituto Politecnico N.1 del Ejército,school_68,40.3689252,-3.7525477,school,0.0
POINT (-3.5849421 40.4590033),Colegio de Educación Infantil y Primaria Ciudad de Guadalajara,school_69,40.4590033,-3.5849421,school,0.0
